77|,76|77,493
77|,67|77,488
77|,87|77,457
77|,78|77,483
87|,88|87,483
87|,77|87,448
87|,86|87,478
87|,97|87,457
98|,88|98,500
98|,97|98,458
98|,99|98,516
98|,8|98,565
89|,88|89,448
89|,79|89,453
89|,80|89,483
89|,99|89,475
69|,68|69,468
69|,79|69,506
69|,59|69,465
69|,60|69,498
58|,68|58,615
58|,57|58,491
58|,48|58,490
58|,59|58,526
78|,68|78,462
78|,77|78,475
78|,79|78,475
78|,88|78,566
70|,79|70,500
70|,71|70,458
70|,80|70,462
70|,60|70,477
76|,77|76,499
76|,66|76,473
76|,86|76,479
76|,75|76,470
47|,57|47,428
47|,46|47,453
47|,37|47,457
47|,48|47,476
56|,57|56,522
56|,66|56,488
56|,55|56,514
56|,46|56,513
67|,57|67,517
67|,77|67,496
67|,66|67,488
67|,68|67,488
65|,66|65,447
65|,64|65,515
65|,75|65,478
65|,55|65,521
96|,86|96,503
96|,6|96,469
96|,95|96,467
96|,97|96,454
85|,75|85,520
85|,84|85,519
85|,95|85,485
85|,86|85,467
74|,75|74,495
74|,64|74,515
74|,84|74,487
74|,73|74,487
75|,76|75,497
75|,85|75,531
75|,65|75,473
75|,74|75,469
66|,76|66,452
66|,56|66,501
66|,65|66,456
66|,67|66,493
68|,67|68,493
68|,78|68,536
68|,58|68,496
68|,69|68,501
86|,87|86,493
86|,76|86,477
86|,85|86,479
86|,96|86,477
97|,96|97,440
97|,87|97,459
97|,7|97,441
97|,98|97,482
6|,96|6,517
6|,16|6,481
6|,5|6,463
6|,7|6,454
79|,78|79,488
79|,70|79,500
79|,69|79,486
79|,89|79,453
88|,87|88,450
88|,78|88,474
88|,89|88,480
88|,98|88,594
95|,85|95,468
95|,94|95,516
95|,5|95,504
95|,96|95,471
84|,85|84,510
84|,74|84,485
84|,83|84,494
84|,94|84,499
64|,74|64,521
64|,65|64,530
64|,63|64,533
64|,54|64,527
54|,55|54,515
54|,64|54,510
54|,44|54,521
54|,53|54,500
63|,64|63,571
63|,53|63,532
63|,73|63,460
63|,62|63,548
45|,46|45,494
45|,55|45,535
45|,44|45,516
45|,35|45,461
36|,46|36,449
36|,35|36,440
36|,37|36,462
36|,26|36,467
46|,56|46,496
46|,45|46,498
46|,36|46,461
46|,47|46,461
55|,56|55,545
55|,65|55,506
55|,54|55,510
55|,45|55,520
53|,54|53,508
53|,63|53,538
53|,52|53,553
53|,43|53,527
44|,54|44,509
44|,45|44,518
44|,34|44,500
44|,43|44,481
35|,45|35,474
35|,34|35,453
35|,25|35,495
35|,36|35,443
57|,56|57,501
57|,47|57,437
57|,58|57,517
57|,67|57,500
73|,74|73,509
73|,63|73,482
73|,83|73,506
73|,72|73,470
62|,63|62,566
62|,52|62,553
62|,72|62,555
62|,61|62,545
43|,44|43,496
43|,53|43,532
43|,42|43,515
43|,33|43,506
34|,44|34,476
34|,35|34,478
34|,33|34,493
34|,24|34,497
52|,53|52,566
52|,62|52,586
52|,51|52,531
52|,42|52,558
33|,43|33,514
33|,32|33,511
33|,34|33,496
33|,23|33,500
24|,34|24,491
24|,23|24,515
24|,25|24,455
24|,14|24,463
42|,43|42,527
42|,52|42,567
42|,41|42,525
42|,32|42,538
51|,52|51,566
51|,41|51,428
51|,61|51,748
51|,50|51,436
83|,84|83,504
83|,73|83,508
83|,82|83,508
83|,93|83,542
72|,73|72,514
72|,62|72,514
72|,82|72,514
72|,71|72,564
61|,62|61,579
61|,71|61,710
61|,51|61,429
